company_id,company_name,sales,net_profit,eps,roe,debt_to_equity
ABB,Abbott India Ltd,6066,1285,605.0,32.47,0.072
ADANIENSOL,Adani Energy Solutions Ltd,22099,1290,11.0,18.87,8.9575
ADANIENT,Adani Enterprises Ltd,127540,6086,49.0,11.14,3.2483
ADANIGREEN,Adani Green Energy Ltd,10782,1928,9.0,18.71,20.2112
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",28443,9743,45.0,25.63,1.8173
ADANIPOWER,Adani Power Ltd,54650,20829,54.0,48.28,59.4319
AMBUJACEM,Ambuja Cements Ltd,38937,4738,16.0,14.77,0.0207
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",20469,1224,82.0,19.7,1.1017
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",35495,5558,57.0,34.28,0.1394
ATGL,Adani Total Gas Ltd,4826,668,6.0,,
AXISBANK,Axis Bank Ltd,120659,26386,85.0,16.37,10.5011
BAJAJ-AUTO,Bajaj Auto Ltd,48900,7708,276.0,38.85,0.066
BAJAJFINSV,Bajaj Finserv Ltd,126263,16520,53.0,28.38,4.7894
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,1733,7486,666.0,17.94,0.0061
BAJFINANCE,Bajaj Finance Ltd,62279,15389,248.0,21.17,5.5531
BANKBARODA,Bank of Baroda,124144,20144,39.0,15.76,16.3018
BEL,Bharat Electronics Ltd,21575,4541,6.0,17100.0,4.0
BHARTIARTL,Bharti Airtel Ltd,155478,13816,22.0,15.84,2.914
BHEL,"Bharat Heavy Electricals Limited
",48903,6693,18.0,21.91,0.3624
BOSCHLTD,Bosch Ltd,17150,2490,844.0,20.64,0.0413
BPCL,Bharat Petroleum Corporation Ltd,473187,26859,62.0,35.51000000000001,1.9766
BRITANNIA,Britannia Industries Ltd,17244,2316,96.0,65.53,0.9699
CANBK,Canara Bank,119392,16571,18.0,16.72,17.0004
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,22502,3852,46.0,19.28,8.1455
CIPLA,"Cipla Ltd
",26981,4987,62.0,17.13,0.4517
COALINDIA,Coal India Ltd,142324,37369,61.0,66.01,0.2001
DABUR,Dabur India Ltd,12447,1811,10.0,36.56,0.5494
DIVISLAB,Divis Laboratories Ltd,8960,2960,112.0,26.23,0.0152
DLF,DLF Ltd,9926,4477,25.0,12.68,1.1884
DMART,Avenue Supermarts Ltd,57213,2720,42.0,21.04,0.7837
DRREDDY,Dr Reddys Laboratories Ltd,31229,5578,67.0,24.96,0.5781
EICHERMOT,Eicher Motors Ltd,17091,4268,156.0,36.63,0.0409
GAIL,GAIL (India) Ltd,145668,12304,18.0,19.31,0.5721
GODREJCP,Godrej Consumer Products Ltd,14152,2342,23.0,32.23,0.7546
GRASIM,Grasim Industries Ltd,137116,11206,111.0,19.22,1.5471
HAL,Hindustan Aeronautics Ltd,31154,8472,127.0,3816.58,0.6181
HAVELLS,Havells India Ltd,20677,1400,22.0,42.95,0.681
HCLTECH,HCL Technologies Ltd,115308,17085,63.0,33.39,0.1558
HDFCBANK,HDFC Bank Ltd,329022,72168,91.0,19.85,9.4341
HDFCLIFE,HDFC Life Insurance Company Ltd,101482,1747,8.0,37.6,0.0731
HEROMOTOCO,"Hero MotoCorp Ltd
",40098,4133,207.0,37.38,0.0505
HINDALCO,Hindalco Industries Ltd,224018,13730,61.0,17.56,1.7863
HINDUNILVR,"Hindustan Unilever Ltd
",62661,10757,46.0,134.0,0.0411
ICICIBANK,ICICI Bank Ltd,180551,52416,70.0,17.99,8.2518
ICICIGI,ICICI Lombard General Insurance Company Ltd,23301,2518,51.0,21.72,0.1243
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,90307,1682,12.0,38.25,0.1933
INDIGO,Interglobe Aviation Ltd,76476,8167,42481.0,17886.36,3.1818
INDUSINDBK,IndusInd Bank Ltd,49004,8950,115.0,16.85,9.0755
INFY,Infosys Ltd,159988,27687,67.0,31.97,0.1101
